,sira,derece,kanal_adi,video_sayisi,abone_sayisi,goruntulenme_sayisi
0,1st,A++,Zee TV,82757.0,18752952.0,20869786591
1,2nd,A++,T-Series,12661.0,61196304.0,47548839843
2,3rd,A++,Cocomelon - Nursery Rhymes,373.0,19238252.0,9793305082
3,4th,A++,SET India,27323.0,31180560.0,22675948293
4,5th,A++,WWE,36756.0,32852346.0,26273668433
5,6th,A++,Movieclips,30243.0,17149704.0,16618094724
6,7th,A++,netd müzik,8500.0,11373567.0,23898730764
7,8th,A++,ABS-CBN Entertainment,100147.0,12149206.0,17202609850
8,9th,A++,Ryan ToysReview,1140.0,16082927.0,24518098041
9,10th,A++,Zee Marathi,74607.0,2841811.0,2591830307
10,11th,A+,5-Minute Crafts,2085.0,33492952.0,8587520379
11,12th,A+,Canal KondZilla,822.0,39409730.0,19291034467
12,13th,A+,Like Nastya Vlog,150.0,7662886.0,2540099931
13,14th,A+,Ozuna,50.0,18824912.0,8727783225
14,15th,A+,Wave Music,16119.0,15899764.0,10989179147
15,16th,A+,Ch3Thailand,49239.0,11569723.0,9388600275
16,17th,A+,WORLDSTARHIPHOP,4778.0,15830098.0,11102158475
17,18th,A+,Vlad and Nikita,53.0,2620008.0,1428274554
18,19th,A+,Badabun,3060.0,23603062.0,5860444053
19,20th,A+,WorkpointOfficial,24287.0,17687228.0,14022189654
20,21st,A+,xxxtentacion,48.0,11593509.0,2029279311
21,22nd,A+,Zee Music Company,3403.0,23440428.0,11666909155
22,23rd,A+,SAB TV,19358.0,11347420.0,9572788450
23,24th,A+,DeadloxMC,1833.0,2137907.0,245437560
24,25th,A+,ETV Andhra Pradesh,186194.0,712562.0,349096736
25,26th,A+,Shemaroo Filmi Gaane,5076.0,14469618.0,6585569190
26,27th,A+,ibighit,277.0,16924524.0,3437613314
27,28th,A+,El Reino Infantil,555.0,15836366.0,16395683234
28,29th,A+,Zee Telugu,92250.0,2902714.0,2754482753
29,30th,A+,Kirin AMV's,230.0,459906.0,224608044
30,31st,A+,Zee Bangla,79497.0,3102246.0,2867901827
31,32nd,A+,Stacy Toys,91.0,5992452.0,1576070985
32,33rd,A+,Toys and Colors,127.0,4746069.0,2250065105
33,34th,A+,InfantiLandia,710.0,7504480.0,2135402141
34,35th,A+,Top Breaking News,848.0,1120620.0,291002673
35,36th,A+,Colors TV,23504.0,12466776.0,8354699608
36,37th,A+,Goldmines Telefilms,206.0,14011180.0,555853544
37,38th,A+,one31,47805.0,10878372.0,7614312491
38,39th,A+,[토이푸딩] ToyPudding TV,2201.0,18777612.0,11920370065
